Area fertilzed,,,,Commercial fertilizer,,,,Proportion area fertilized,,,Fertilizer Use ,,,,,,
Consolidated Subdivision,Division No.,Ag subdivision,Year,Number of farms reporting,Acres,Hectares,,Acres,Hectares,,Urea tonnes,,Urea tonnes/acre,,,Urea tonnes in division,
"Glen Bain No. 105, Saskatchewan [CCS470303064]",3,64,2021,69,"96,974","39,244",,0.002921973,0.002921974,,1487000,,0.04,,,3878.96,
"Gravelbourg No. 104, Saskatchewan [CCS470303068]",3,68,2021,89,"148,498","60,095",,0.004474468,0.004474468,,1487000,,0.04,,,5939.92,
"Sutton No. 103, Saskatchewan [CCS470303074]",3,74,2021,54,"132,053","53,440",,0.003978956,0.003978959,,1487000,,0.04,,,5282.12,
"Lake Johnston No. 102, Saskatchewan [CCS470303093]",3,93,2021,32,"73,063","29,568",,0.002201498,0.002201532,,1487000,,0.04,,,2922.52,
"Terrell No. 101, Saskatchewan [CCS470303096]",3,96,2021,35,"47,519","19,230",,0.001431819,0.0014318,,1487000,,0.04,,,1900.76,
"Val Marie No. 17, Saskatchewan [CCS470304003]",4,3,2021,62,"151,147","61,167",,0.004554287,0.004554285,,1487000,,0.04,,,6045.88,
"Lone Tree No. 18, Saskatchewan [CCS470304006]",4,6,2021,40,"104,422","42,258",,0.003146392,0.003146386,,1487000,,0.04,,,4176.88,
"Frontier No. 19, Saskatchewan [CCS470304011]",4,11,2021,51,"137,618","55,692",,0.004146637,0.004146636,,1487000,,0.04,,,5504.72,
"Reno No. 51, Saskatchewan [CCS470304019]",4,19,2021,52,"80,488","32,572",,0.002425225,0.0024252,,1487000,,0.04,,,3219.52,
"White Valley No. 49, Saskatchewan [CCS470304024]",4,24,2021,105,"177,987","72,029",,0.005363016,0.005363033,,1487000,,0.04,,,7119.48,
"Wise Creek No. 77, Saskatchewan [CCS470304028]",4,28,2021,43,"78,556","31,790",,0.00236701,0.002366975,,1487000,,0.04,,,3142.24,
"Grassy Creek No. 78, Saskatchewan [CCS470304034]",4,34,2021,51,"122,064","49,398",,0.003677972,0.003678006,,1487000,,0.04,,,4882.56,
"Arlington No. 79, Saskatchewan [CCS470304038]",4,38,2021,34,"70,509","28,534",,0.002124542,0.002124544,,1487000,,0.04,,,2820.36,
"Maple Creek No. 111, Saskatchewan [CCS470304045]",4,45,2021,86,"92,002","37,232",,0.002772159,0.002772167,,1487000,,0.04,,,3680.08,
"Piapot No. 110, Saskatchewan [CCS470304050]",4,50,2021,49,"34,760","14,067",,0.001047371,0.001047381,,1487000,,0.04,,,1390.4,
"Carmichael No. 109, Saskatchewan [CCS470304054]",4,54,2021,45,"79,736","32,268",,0.002402566,0.002402565,,1487000,,0.04,,,3189.44,
"Bone Creek No. 108, Saskatchewan [CCS470304058]",4,58,2021,49,"99,182","40,138",,0.002988503,0.002988538,,1487000,,0.04,,,3967.28,
"Lac Pelletier No. 107, Saskatchewan [CCS470304061]",4,61,2021,63,"195,509","79,120",,0.00589098,0.005891004,,1487000,,0.04,,,7820.36,
"Baildon No. 131, Saskatchewan [CCS470307001]",7,1,2021,59,"143,725","58,163",,0.00433065,0.004330618,,1487000,,0.04,,,5749,
"Hillsborough No. 132, Saskatchewan [CCS470307004]",7,4,2021,15,"15,545","6,291",,0.000468394,0.000468406,,1487000,,0.04,,,621.8,
"Rodgers No. 133, Saskatchewan [CCS470307006]",7,6,2021,30,"74,814","30,276",,0.002254258,0.002254247,,1487000,,0.04,,,2992.56,
"Shamrock No. 134, Saskatchewan [CCS470307011]",7,11,2021,37,"63,137","25,551",,0.001902413,0.00190244,,1487000,,0.04,,,2525.48,
"Lawtonia No. 135, Saskatchewan [CCS470307014]",7,14,2021,62,"125,941","50,967",,0.003794792,0.003794828,,1487000,,0.04,,,5037.64,
"Coulee No. 136, Saskatchewan [CCS470307018]",7,18,2021,77,"117,736","47,646",,0.003547563,0.003547558,,1487000,,0.04,,,4709.44,
"Excelsior No. 166, Saskatchewan [CCS470307021]",7,21,2021,91,"148,868","60,245",,0.004485617,0.004485636,,1487000,,0.04,,,5954.72,
"Morse No. 165, Saskatchewan [CCS470307024]",7,24,2021,80,"120,572","48,794",,0.003633016,0.003633034,,1487000,,0.04,,,4822.88,
"Chaplin No. 164, Saskatchewan [CCS470307029]",7,29,2021,21,"29,935","12,114",,0.000901987,0.000901967,,1487000,,0.04,,,1197.4,
